state,state_name,district,uncontested,pct,representative,party,WARP,WAR,WAR_lower,WAR_upper
IN,Indiana,5,0,0.401810226,Victoria Spartz,REP,0.149999999999994,-2.22179,-16.399378000000002,12.595259999999996
IN,Indiana,6,0,0.331479625,Jefferson Shreve,REP,0.009999999999998,0.07289720000000001,-14.232429999999999,14.464350999999997
IN,Indiana,7,0,0.702423531,André Carson,DEM,0,-6.95139,-18.921291,5.7220289999999885
IN,Indiana,8,0,0.302332737,Mark Messmer,REP,0,0.982186,-11.960973,14.311037999999995
IN,Indiana,9,0,0.337214973,Erin Houchin,REP,0,-0.214839,-13.331506,13.807396999999993
IA,Iowa,1,0,0.499032948,Mariannette Miller-Meeks,REP,19.06,1.706565,-13.294514,16.58496999999999
IA,Iowa,2,0,0.421107472,Ashley Hinson,REP,8.850000000000001,3.1757,-11.688567999999998,17.98784699999999
IA,Iowa,3,0,0.480831074,Zach Nunn,REP,12.140000000000006,0.1995593,-15.048551,15.248313999999999
IA,Iowa,4,0,0.32781321,Randy Feenstra,REP,0,4.4586,-9.257293,18.984159999999967
KS,Kansas,1,0,0.308630419,Tracey Mann,REP,0,0.36810200000000004,-12.188068000000001,13.708106999999995
KS,Kansas,2,0,0.400943396,Derek Schmidt,REP,1.090000000000002,0.1700468,-14.844159000000001,15.678326999999998
KS,Kansas,3,0,0.556036573,Sharice Davids,DEM,29.400000000000006,5.5264500000000005,-9.368808000000001,20.820079999999997
KS,Kansas,4,0,0.349501962,Ron Estes,REP,0.009999999999998,-1.025593,-14.315467000000002,12.730709999999993
KY,Kentucky,1,0,0.252919876,James R. Comer,REP,0,0.994953,-10.307044999999999,12.860604
KY,Kentucky,2,0,0.268982666,S. Brett Guthrie,REP,0,-1.31491,-13.056150000000002,11.276901999999998
KY,Kentucky,3,0,0.619560542,Morgan McGarvey,DEM,0.10999999999999799,0.688662999999998,-13.589410999999998,15.108612999999998
KY,Kentucky,4,1,0,Thomas Massie,REP,0,-3.160649999999998,-15.867838,10.096881999999999
KY,Kentucky,5,1,0,Hal Rogers,REP,0,7.87148,-1.088787,18.025670999999992
KY,Kentucky,6,0,0.366042036,Andy Barr,REP,1.400000000000001,4.15783,-10.131496,18.456301999999997
LA,Louisiana,1,0,0.264542591,Steve Scalise,REP,0,8.6828,-3.1882300000000003,21.83424999999999
LA,Louisiana,2,0,0.815461999,Troy A. Carter Sr.,DEM,0,19.64786,6.844739999999998,33.323809999999995
LA,Louisiana,3,0,0.209127163,Clay Higgins,REP,0,18.31495,6.959465,31.13159999999999
LA,Louisiana,4,1,0,Mike Johnson,REP,0,8.644820000000001,-2.30816,20.409389999999977
LA,Louisiana,5,0,0.292168102,Julia Letlow,REP,0,13.039010000000001,0.40975029999999796,26.409879999999998
LA,Louisiana,6,0,0.573620545,Cleo Fields,DEM,0.10999999999999799,-4.58901,-19.676811999999998,10.807439999999993
ME,Maine,1,0,0.617323247,Chellie Pingree,DEM,0.319999999999998,1.927278999999998,-12.089324,16.108699999999995
ME,Maine,2,0,0.503455091,Jared Forrest Golden,DEM,44.4,9.430900000000001,-5.300136000000004,24.323169999999998
MD,Maryland,1,0,0.386167872,Andy Harris,REP,0.190000000000001,-2.08643,-15.854284000000002,11.997889999999998
